Date,ret,vol,regime,regime_name,regime_encoded
2019-03-22,0.00016842039713007017,0.007199477086380739,0,Bull,2
2019-03-25,6.487623571072577e-05,0.007198269296330868,0,Bull,2
2019-03-26,0.00046353538367103206,0.007367210935016107,0,Bull,2
2019-03-27,0.0002585216085229658,0.0074532738790633775,0,Bull,2
2019-03-28,0.0005792711007532536,0.007451601691119628,0,Bull,2
2019-03-29,0.0005712190719497246,0.0074445011298168474,0,Bull,2
2019-04-01,0.0013436770027891952,0.007753374768764263,0,Bull,2
2019-04-02,0.0014011264293048663,0.007738311308724043,0,Bull,2
2019-04-03,0.001834750206070701,0.007510471200202407,0,Bull,2
2019-04-04,0.0023452678379888847,0.007135439110301887,0,Bull,2
2019-04-05,0.002683673918938012,0.007072151673992506,0,Bull,2
2019-04-08,0.002002744823246183,0.006489335472062413,0,Bull,2
2019-04-09,0.0015517041933228338,0.006728863362142439,0,Bull,2
2019-04-10,0.001378118580829668,0.006626282667593482,0,Bull,2
2019-04-11,0.001423425853281024,0.006613201317299409,0,Bull,2
2019-04-12,0.0015046469186974498,0.006668984327962592,0,Bull,2
2019-04-15,0.0012878811182101269,0.006664123276768516,0,Bull,2
2019-04-16,0.0013198770962061014,0.006658488392067539,0,Bull,2
2019-04-17,0.0013534041871622992,0.006637542112745531,0,Bull,2
2019-04-18,0.0008897347486400697,0.0062517409262765515,0,Bull,2
2019-04-22,0.001889060688687777,0.004155244388162598,0,Bull,2
2019-04-23,0.0023730720110320125,0.004378533863181219,0,Bull,2
2019-04-24,0.0019043475591800142,0.0043381448551335754,0,Bull,2
2019-04-25,0.0021181151210773073,0.004097107207754281,0,Bull,2
2019-04-26,0.0021729056516459344,0.004125051200083531,0,Bull,2
2019-04-29,0.0018897677594955143,0.0039875362978271656,0,Bull,2
2019-04-30,0.0013589086037360588,0.0032740844129836256,0,Bull,2
2019-05-01,0.000982927664304628,0.0038221295271441955,0,Bull,2
2019-05-02,0.0007693095306297026,0.0038726218069088073,0,Bull,2
2019-05-03,0.001146991745678083,0.004346943640844163,0,Bull,2
2019-05-06,0.0006916206857282114,0.004438235233966861,0,Bull,2
2019-05-07,-0.00018633488158898426,0.0058699526443661875,0,Bull,2
2019-05-08,3.6768572439865865e-05,0.00571747466482596,0,Bull,2
2019-05-09,-0.0002881962528838933,0.00569625975779896,0,Bull,2
2019-05-10,-0.00010408754324491842,0.005766435298305711,0,Bull,2
2019-05-13,-0.0016410816136172568,0.007666530390208345,1,Volatile,1
2019-05-14,-0.0012088159310363945,0.007964512063715066,1,Volatile,1
2019-05-15,-0.000942335077499018,0.00811280531444353,1,Volatile,1
2019-05-16,-0.00038388013220279625,0.008395810775875213,0,Bull,2
2019-05-17,-0.0007547014137163855,0.008468019888980277,1,Volatile,1
2019-05-20,-0.0011427711875593549,0.008560136322691363,1,Volatile,1
2019-05-21,-0.0011600396974573934,0.008539258330095017,1,Volatile,1
2019-05-22,-0.0011916713502531818,0.008544451390847899,1,Volatile,1
2019-05-23,-0.0017689301648794009,0.008869746043888772,1,Volatile,1
2019-05-24,-0.0019355168215555718,0.008772905158720598,1,Volatile,1
2019-05-28,-0.0024078767764206753,0.008856411099262444,1,Volatile,1
