,ann_ret,ann_vol,VaR_99,CVaR_99,max_drawdown,sharpe,sortino,calmar,sector,degree,eigenvector,betweenness,community
JNJ,0.0470665719897397,0.191339511984524,-0.0338043894603992,-0.0494276982794121,-0.2901934971717415,0.2459845930491689,0.3314339950224004,0.1621903056011104,Healthcare,0.13793103448275862,0.3720996886772632,0.19950738916256158,0
JPM,0.1762695663358586,0.3059000395575736,-0.0501719802816475,-0.0772239681114766,-0.4729679901411814,0.5762325712373202,0.7496026996932754,0.3726881522854051,Financials,0.06896551724137931,0.1549156455499011,0.19211822660098524,3
LLY,0.3333140987849728,0.305382801201573,-0.0425180193008543,-0.0641011780874501,-0.2512736248903101,1.0914632306518248,1.673376297745715,1.326498548864714,Healthcare,0.034482758620689655,0.14418608730210566,0.0,0
META,0.246608286284561,0.429552478755515,-0.0660738240181584,-0.1120411219665626,-0.8175061109699119,0.5741051407712191,0.6951831492041475,0.3016592573136587,Technology,0.034482758620689655,0.010260679906921385,0.0,4
MSFT,0.2497521738517134,0.2902762253901433,-0.0455269527103834,-0.0666908786277159,-0.4061005913361631,0.8603948653253848,1.1418924426816623,0.6150007638008409,Technology,0.1724137931034483,0.1148438717588782,0.37192118226600984,4
NEE,0.1113406389099671,0.2844904772110491,-0.0531765631520499,-0.0778398441191825,-0.4907049121317459,0.3913685969438237,0.488515509641551,0.2268993771150065,Energy,0.034482758620689655,0.10717609899758865,0.0,5
NKE,0.0126976240165224,0.330997633010832,-0.0596229602074877,-0.0927110947513497,-0.65357981192393,0.0383616761878987,0.0472083390476504,0.0194278094042481,Consumer,0.034482758620689655,0.08666784838296934,0.0,4
NVDA,0.6193452443326504,0.5160425155656039,-0.0784256501224246,-0.103142610981173,-0.7186772557617326,1.2001825928118004,1.792333413920436,0.8617849519617825,Technology,0.034482758620689655,0.03331259238002729,0.0,4
PFE,-0.0317078601129704,0.2620643641543315,-0.0470843362442049,-0.0609434899377668,-0.5799509128665779,-0.1209926432206459,-0.1784680089059406,-0.0546733515018452,Healthcare,0.034482758620689655,0.13205249861977333,0.0,0
SLB,0.0303384459101937,0.4721624039024834,-0.0764952322124773,-0.1200409746415072,-0.7737197760917002,0.064254260100852,0.0828767958184805,0.0392111547974677,Energy,0.034482758620689655,0.009985975885883236,0.0,3
TSLA,0.5021885092392745,0.6434244604422928,-0.1202996129193386,-0.1493797672319287,-0.7988125944815034,0.7804933447728547,1.0836073196100915,0.6286687424667322,Consumer,0.034482758620689655,0.012876834826895282,0.0,4
UNH,0.1379101263219402,0.2923062395116772,-0.0520215108118099,-0.0768268925386723,-0.3961458795363538,0.4718001454650129,0.5955099526625353,0.3481296498233156,Healthcare,0.034482758620689655,0.21844992838704344,0.0,3
UPS,0.0770637503285482,0.2924898272152236,-0.0530539235139422,-0.0768659123945571,-0.4698092860577743,0.2634749764197515,0.3546454924230924,0.1640319862027405,Industrials,0.034482758620689655,0.22594140206744082,0.0,3
V,0.1513212255644754,0.2648586699701077,-0.0494307487969504,-0.0654998015319543,-0.3886941952258558,0.5713281939441657,0.7322494561703105,0.3893066256792137,Financials,0.10344827586206896,0.24770834608051148,0.4310344827586207,4
WMT,0.1944342643616005,0.2142536822513753,-0.0318764833990713,-0.0581390504390574,-0.2678800944273639,0.9074955553551632,1.1517371012091653,0.7258257272800898,Consumer,0.034482758620689655,0.11509062370774693,0.0,5
XOM,0.1180498889853927,0.3226240308432992,-0.050871000317595,-0.0755837257641412,-0.637010908774608,0.3659054431773881,0.5121487684022039,0.1853184731364813,Energy,0.034482758620689655,0.04177293041799264,0.0,3
