source,target,p_val,lag
GS,JNJ,8.013082467161441e-07,3
GS,JPM,0.03701223351311684,2
GS,LLY,0.00012601723918868077,4
GS,META,0.024687196969001516,4
GS,MSFT,0.00039687946837223585,2
GS,NEE,1.8421291727209636e-06,5
GS,NKE,0.034940088412438175,4
GS,NVDA,0.01591540383962888,1
GS,PFE,2.355138670125962e-06,5
GS,UNH,0.00574104104909776,5
GS,UPS,2.0062322144100257e-05,4
GS,V,0.0005026987987603449,4
GS,WMT,1.3363087683534307e-06,3
GS,XOM,2.064985716083228e-06,4
HD,ABBV,0.0031416386448734394,5
HD,AMZN,0.009409432287611857,1
HD,BA,0.02284020378035262,4
HD,CAT,0.011418969418923083,2
HD,COP,0.017189616712061737,4
HD,CVX,1.9325425210255026e-05,5
HD,GOOGL,0.0019358276721772637,2
HD,HON,0.003022513779293793,5
HD,JNJ,1.1887339883765544e-07,5
HD,LLY,0.01816786958559672,1
HD,MSFT,0.011393811608165088,2
HD,NEE,0.04938519513901881,3
HD,SLB,0.02635407855066672,5
HD,TSLA,0.005243416590619961,3
HD,UNH,0.0007911268300355268,5
HD,V,0.0006288537024768183,5
HD,WMT,2.9223542928987726e-05,1
HD,XOM,0.0003799648983705848,2
HON,AAPL,1.1456278732226321e-06,2
HON,AMZN,1.825075395277376e-05,2
HON,BA,0.006949447969969728,3
HON,CAT,0.015830745104645175,1
HON,COP,0.00135142728998598,3
HON,CVX,0.005303623718870643,3
HON,GOOGL,0.0012277114697142343,2
HON,GS,0.04054432944343886,1
HON,HD,3.632149176797913e-07,4
HON,JNJ,2.943934774697186e-05,3
HON,LLY,0.0017742345203525126,2
HON,META,6.600549683320433e-06,2
HON,MSFT,3.736388669609794e-05,2
HON,NEE,9.213800549104962e-05,3
HON,NVDA,0.0021369916042132467,1
HON,PFE,0.005318648716849287,2
HON,SLB,0.015449096596335208,3
HON,UPS,1.3342533747426669e-05,4
HON,V,0.01687710213163526,2
HON,WMT,5.069829553429638e-06,3
HON,XOM,0.00019280041315056245,4
JNJ,AAPL,0.0003059819024076232,4
JNJ,ABBV,0.0028694561506974726,4
JNJ,AMZN,0.00012940079640565768,2
JNJ,BA,6.669580284660311e-06,2
JNJ,BAC,7.435559428505173e-05,1
JNJ,BRK-B,0.0004718605465463527,2
JNJ,CAT,0.00039053952696760613,1
JNJ,COP,7.185720896574478e-08,1
JNJ,CVX,7.372010047659142e-09,1
JNJ,GE,0.0005377432308540278,5
JNJ,GOOGL,1.9464778296406058e-05,1
JNJ,GS,4.265560336816885e-05,1
JNJ,HD,1.3341642519058624e-07,1
JNJ,HON,0.0001296171284439714,5
JNJ,JPM,4.769569349275097e-05,1
JNJ,LLY,0.0020157786334558648,4
JNJ,META,1.273763336691435e-05,2
JNJ,MSFT,3.760763637490249e-07,4
JNJ,NEE,0.008335658181798173,4
JNJ,NKE,0.012825342417839999,4
JNJ,NVDA,9.636405066005428e-05,1
JNJ,PFE,0.00170143191524811,4
JNJ,SLB,0.0006503962491973002,1
JNJ,UNH,0.0011670822957297645,5
JNJ,UPS,1.8811738462293988e-07,4
JNJ,V,2.816867458785284e-06,4
JNJ,XOM,1.0999807288356633e-05,1
JPM,AAPL,1.6754690716951245e-09,3
JPM,ABBV,1.2239934680992471e-05,5
JPM,AMZN,0.00010062485941138204,2
JPM,BA,0.00037942435069531275,5
JPM,BAC,0.000487843806045352,4
JPM,BRK-B,0.004865337251160261,4
JPM,CAT,0.00027825743657454796,2
JPM,COP,0.0011607780142559537,5
JPM,CVX,1.7146697938602023e-06,5
JPM,GE,0.0012586815518529201,5
JPM,GOOGL,1.4281393346658235e-06,2
JPM,GS,4.8486548806618534e-05,2
JPM,HD,1.807167000508489e-11,4
JPM,HON,0.009786746818344893,2
JPM,JNJ,2.2676285458100378e-08,3
JPM,LLY,1.5126622759567114e-05,4
JPM,META,0.00011358414154128388,2
JPM,MSFT,1.5385572707149338e-07,2
JPM,NEE,2.6400400211816135e-07,3
JPM,NKE,0.0007657183953940579,4
JPM,NVDA,0.00022640027167498782,2
JPM,PFE,3.1415239863094083e-06,4
JPM,SLB,0.0033665144882631184,5
JPM,TSLA,0.027067272159045825,2
JPM,UNH,0.0012876123340939407,2
JPM,UPS,1.006572446281797e-06,4
JPM,V,1.4917967465521973e-08,2
JPM,WMT,6.104347437934689e-12,3
JPM,XOM,1.124907285869227e-09,2
